id,dir,trace,frames
11,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_best_rep2/6_near_fight/s0055_casem030righttopcowmr003L_601st_fail,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_best_rep2/6_near_fight/s0055_casem030righttopcowmr003L_601st_fail/trace.png,k0_start_s024.png;k1_stall_e1_s077.png;k1_stall_e2_s162.png;k1_stall_e3_s244.png;k2_load_e1_s077.png;k2_load_e2_s162.png;k2_load_e3_s307.png;k3_withdraw_e1_s100.png;k3_withdraw_e2_s230.png;k4_escape_e1_s101.png;k4_escape_e2_s240.png;k4_escape_e3_s307.png;k9_end_s601.png
12,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_best_rep2/6_near_fight/s0023_casew013righttopcowmr013L_601st_fail,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_best_rep2/6_near_fight/s0023_casew013righttopcowmr013L_601st_fail/trace.png,k0_start_s023.png;k1_stall_e1_s047.png;k1_stall_e2_s176.png;k2_load_e1_s059.png;k2_load_e2_s176.png;k3_withdraw_e1_s111.png;k3_withdraw_e2_s241.png;k4_escape_e1_s120.png;k4_escape_e2_s265.png;k9_end_s601.png
13,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_best_rep4/6_near_fight/s0134_casew007lefttopcowmr013L_601st_fail,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_best_rep4/6_near_fight/s0134_casew007lefttopcowmr013L_601st_fail/trace.png,k0_start_s024.png;k1_stall_e1_s081.png;k2_load_e1_s101.png;k3_withdraw_e1_s178.png;k4_escape_e1_s194.png;k9_end_s601.png
14,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_best_rep1/6_near_fight/s0055_casem030righttopcowmr003L_601st_fail,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_best_rep1/6_near_fight/s0055_casem030righttopcowmr003L_601st_fail/trace.png,k0_start_s025.png;k1_stall_e1_s079.png;k2_load_e1_s079.png;k3_withdraw_e1_s122.png;k4_escape_e1_s129.png;k9_end_s601.png
15,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_best_rep4/6_near_fight/s0055_casem030righttopcowmr003L_601st_fail,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_best_rep4/6_near_fight/s0055_casem030righttopcowmr003L_601st_fail/trace.png,k0_start_s024.png;k1_stall_e1_s081.png;k1_stall_e2_s126.png;k2_load_e1_s081.png;k2_load_e2_s129.png;k3_withdraw_e1_s115.png;k3_withdraw_e2_s170.png;k4_escape_e1_s124.png;k4_escape_e2_s179.png;k9_end_s601.png
16,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_peak_rep1/8_coil/s0134_casew007lefttopcowmr013L_601st_fail,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_peak_rep1/8_coil/s0134_casew007lefttopcowmr013L_601st_fail/trace.png,k0_start_s030.png;k1_stall_e1_s094.png;k2_load_e1_s102.png;k3_withdraw_e1_s124.png;k4_escape_e1_s125.png;k9_end_s601.png
17,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_peak_rep1/5_shove_fight/s0023_casew013righttopcowmr013L_601st_fail,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_peak_rep1/5_shove_fight/s0023_casew013righttopcowmr013L_601st_fail/trace.png,k0_start_s021.png;k1_stall_e1_s042.png;k2_load_e1_s042.png;k3_withdraw_e1_s558.png;k4_escape_e1_s558.png;k9_end_s601.png
18,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_peak_rep2/6_near_fight/s0055_casem030righttopcowmr003L_601st_fail,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_peak_rep2/6_near_fight/s0055_casem030righttopcowmr003L_601st_fail/trace.png,k0_start_s027.png;k1_stall_e1_s102.png;k1_stall_e2_s191.png;k2_load_e1_s182.png;k2_load_e2_s200.png;k3_withdraw_e1_s189.png;k3_withdraw_e2_s206.png;k4_escape_e1_s189.png;k4_escape_e2_s206.png;k9_end_s601.png
19,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_peak_rep1/6_near_fight/s0008_casew013righttopcowmr013L_601st_fail,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_peak_rep1/6_near_fight/s0008_casew013righttopcowmr013L_601st_fail/trace.png,k0_start_s020.png;k9_end_s601.png
20,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_peak_rep2/5_shove_fight/s0023_casew013righttopcowmr013L_601st_fail,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_peak_rep2/5_shove_fight/s0023_casew013righttopcowmr013L_601st_fail/trace.png,k0_start_s022.png;k1_stall_e1_s045.png;k2_load_e1_s097.png;k3_withdraw_e1_s555.png;k4_escape_e1_s555.png;k9_end_s601.png
21,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_best_rep2/3_light_recovery/s0167_casem030righttopcowmr013L_111st_success,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_best_rep2/3_light_recovery/s0167_casem030righttopcowmr013L_111st_success/trace.png,k0_start_s021.png;k1_stall_e1_s078.png;k2_load_e1_s078.png;k3_withdraw_e1_s104.png;k4_escape_e1_s111.png;k9_end_s111.png
22,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_best_rep1/6_near_fight/s0134_casew007lefttopcowmr013L_235st_success,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_best_rep1/6_near_fight/s0134_casew007lefttopcowmr013L_235st_success/trace.png,k0_start_s022.png;k1_stall_e1_s077.png;k2_load_e1_s094.png;k3_withdraw_e1_s213.png;k4_escape_e1_s218.png;k9_end_s235.png
23,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_best_rep4/4_deep_recovery/s0139_casew013righttopcowmr021L_170st_success,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_best_rep4/4_deep_recovery/s0139_casew013righttopcowmr021L_170st_success/trace.png,k0_start_s023.png;k1_stall_e1_s048.png;k1_stall_e2_s097.png;k1_stall_e3_s115.png;k2_load_e1_s055.png;k2_load_e2_s111.png;k2_load_e3_s137.png;k3_withdraw_e1_s059.png;k4_escape_e1_s063.png;k4_escape_e2_s111.png;k4_escape_e3_s137.png;k9_end_s170.png
24,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_best_rep1/6_near_fight/s0008_casew013righttopcowmr013L_258st_success,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_best_rep1/6_near_fight/s0008_casew013righttopcowmr013L_258st_success/trace.png,k0_start_s022.png;k1_stall_e1_s080.png;k1_stall_e2_s130.png;k2_load_e1_s090.png;k2_load_e2_s137.png;k3_withdraw_e1_s115.png;k3_withdraw_e2_s183.png;k4_escape_e1_s129.png;k4_escape_e2_s255.png;k9_end_s258.png
25,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_best_rep3/4_deep_recovery/s0008_casew013righttopcowmr013L_147st_success,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_best_rep3/4_deep_recovery/s0008_casew013righttopcowmr013L_147st_success/trace.png,k0_start_s025.png;k1_stall_e1_s082.png;k2_load_e1_s107.png;k3_withdraw_e1_s128.png;k4_escape_e1_s143.png;k9_end_s147.png
26,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_best_rep1/4_deep_recovery/s0139_casew013righttopcowmr021L_152st_success,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/car_best_rep1/4_deep_recovery/s0139_casew013righttopcowmr021L_152st_success/trace.png,k0_start_s022.png;k9_end_s152.png
